,id,statuses_count,followers_count,friends_count,favourites_count,listed_count,utc_offset,created_at_year,lang_code,label
0,3610511.0,20370.0,5470.0,2385.0,145.0,52.0,3600.0,2007.0,1.0,0.0
1,5656162.0,3131.0,506.0,381.0,9.0,40.0,3600.0,2007.0,0.0,0.0
2,5682702.0,4024.0,264.0,87.0,323.0,16.0,3600.0,2007.0,0.0,0.0
3,6067292.0,40586.0,640.0,622.0,1118.0,32.0,3600.0,2007.0,0.0,0.0
4,6015122.0,2016.0,62.0,64.0,13.0,0.0,3600.0,2007.0,1.0,0.0
5,6140012.0,3603.0,138.0,179.0,53.0,1.0,3600.0,2007.0,1.0,0.0
6,6134312.0,1183.0,128.0,168.0,2.0,5.0,3600.0,2007.0,0.0,0.0
7,6684602.0,6194.0,1062.0,1770.0,597.0,5.0,3600.0,2007.0,1.0,0.0
8,7046912.0,10962.0,23368.0,958.0,590.0,715.0,3600.0,2007.0,0.0,0.0
9,7470952.0,10947.0,760.0,712.0,693.0,27.0,3600.0,2007.0,1.0,0.0
10,8072492.0,2754.0,477.0,218.0,224.0,13.0,3600.0,2007.0,1.0,0.0
11,8291932.0,26713.0,1390.0,1177.0,914.0,68.0,3600.0,2007.0,0.0,0.0
12,8858022.0,4111.0,314.0,338.0,47.0,8.0,3600.0,2007.0,1.0,0.0
13,8927532.0,1441.0,97.0,203.0,25.0,2.0,3600.0,2007.0,1.0,0.0
14,8933252.0,1698.0,289.0,1930.0,45.0,3.0,-10800.0,2007.0,1.0,0.0
15,9351052.0,402.0,93.0,78.0,36.0,4.0,3600.0,2007.0,1.0,0.0
16,9564632.0,16935.0,2242.0,918.0,44.0,124.0,3600.0,2007.0,0.0,0.0
17,9939012.0,9437.0,689.0,891.0,199.0,37.0,3600.0,2007.0,1.0,0.0
18,9993142.0,3742.0,505.0,571.0,100.0,3.0,3600.0,2007.0,1.0,0.0
19,10492262.0,770.0,81.0,181.0,89.0,2.0,-36000.0,2007.0,1.0,0.0
20,11176152.0,1430.0,128.0,371.0,204.0,1.0,3600.0,2007.0,1.0,0.0
21,13260592.0,6996.0,899.0,305.0,346.0,28.0,3600.0,2008.0,0.0,0.0
22,14057516.0,3284.0,375.0,1039.0,1.0,8.0,3600.0,2008.0,0.0,0.0
23,14112759.0,160.0,46.0,146.0,22.0,0.0,3600.0,2008.0,3.0,0.0
24,14492555.0,292.0,57.0,110.0,5.0,0.0,-10800.0,2008.0,0.0,0.0
25,14709812.0,5876.0,616.0,647.0,1061.0,29.0,3600.0,2008.0,1.0,0.0
26,14865840.0,7534.0,1132.0,1096.0,6.0,52.0,3600.0,2008.0,0.0,0.0
27,14958182.0,1294.0,254.0,276.0,89.0,8.0,3600.0,2008.0,1.0,0.0
28,15016610.0,6340.0,298.0,419.0,5.0,15.0,3600.0,2008.0,0.0,0.0
29,15271419.0,5472.0,6352.0,3873.0,65.0,11.0,3600.0,2008.0,1.0,0.0
30,15391421.0,22540.0,2065.0,1125.0,0.0,64.0,3600.0,2008.0,1.0,0.0
31,15836275.0,732.0,85.0,338.0,16.0,3.0,3600.0,2008.0,0.0,0.0
32,15873303.0,38781.0,623.0,323.0,1209.0,22.0,3600.0,2008.0,0.0,0.0
33,16093829.0,10451.0,1265.0,323.0,38.0,24.0,3600.0,2008.0,1.0,0.0
34,16591972.0,2784.0,256.0,873.0,284.0,2.0,3600.0,2008.0,1.0,0.0
35,16927266.0,823.0,43.0,109.0,5.0,1.0,3600.0,2008.0,1.0,0.0
36,17654864.0,442.0,79.0,259.0,0.0,3.0,3600.0,2008.0,0.0,0.0
37,17852114.0,350.0,86.0,131.0,116.0,3.0,0.0,2008.0,0.0,0.0
38,18173213.0,3694.0,393.0,1047.0,6.0,8.0,-18000.0,2008.0,0.0,0.0
39,18527544.0,9686.0,208.0,196.0,219.0,4.0,3600.0,2009.0,1.0,0.0
40,18671285.0,16427.0,555.0,755.0,8.0,18.0,3600.0,2009.0,0.0,0.0
41,18735790.0,1006.0,85.0,121.0,19.0,1.0,3600.0,2009.0,0.0,0.0
42,18800245.0,1122.0,300.0,951.0,8.0,6.0,-10800.0,2009.0,1.0,0.0
43,19598248.0,1386.0,88.0,267.0,106.0,0.0,3600.0,2009.0,0.0,0.0
44,21102000.0,18267.0,1964.0,2003.0,22732.0,4.0,3600.0,2009.0,1.0,0.0
45,21770069.0,15365.0,3813.0,1505.0,550.0,63.0,3600.0,2009.0,0.0,0.0
46,22015750.0,2242.0,552.0,1446.0,13.0,8.0,3600.0,2009.0,0.0,0.0
47,22136015.0,4149.0,279.0,64.0,20.0,22.0,3600.0,2009.0,0.0,0.0
48,22203964.0,8384.0,2526.0,299.0,1178.0,41.0,3600.0,2009.0,1.0,0.0
49,22508731.0,612.0,100.0,259.0,24.0,2.0,3600.0,2009.0,1.0,0.0
50,22627606.0,660.0,126.0,407.0,0.0,0.0,3600.0,2009.0,0.0,0.0
51,22985259.0,5287.0,849.0,1846.0,117.0,3.0,3600.0,2009.0,1.0,0.0
52,23748269.0,2275.0,165.0,285.0,181.0,4.0,3600.0,2009.0,0.0,0.0
53,23847948.0,3551.0,87.0,174.0,7.0,2.0,3600.0,2009.0,0.0,0.0
54,24352106.0,282.0,12.0,36.0,6.0,0.0,3600.0,2009.0,1.0,0.0
